label,scenario,detected,files_changed,files_before_detection,time_to_detect_sec,max_probability,entropy,uniform_dist,write_burst,dir_spread,rename_burst,suspicious_rename_target,header_mismatch,files_per_sec,extension_change_ratio,entropy_mean,entropy_max,uniform_mean,files_per_sec_max,write_burst_seen,dir_spread_seen,rename_burst_seen,suspicious_rename_target_seen,extension_change_ratio_max,header_mismatch_count
0,bulk_append,0,23,0,-1,0.3014,0.7461,1.4859,1,0,0,0,0,2.2,0,4.9825,5.9684,1.6629,2.3,1,0,0,0,0,0
0,mass_delete,1,30,25,0.41,0.9572,0.9997,0.2163,1,0,0,0,1,2.5,0,5.181,7.9982,1.4591,3.1,1,0,0,0,0,2
0,mass_copy,0,26,0,-1,0.7062,0.9998,0.1978,1,0,0,0,0,2.3,0,5.2054,7.9982,1.5627,2.6,1,1,0,0,0,0
0,mass_copy,0,26,0,-1,0.7319,0.9998,0.1953,1,0,0,0,0,2.4,0,4.7399,7.9982,1.6517,2.6,1,1,0,0,0,0
0,bulk_append,0,23,0,-1,0.3106,0.7469,1.4434,1,0,0,0,0,2.2,0,5.4063,5.9751,1.5867,2.3,1,0,0,0,0,0
0,mass_extract,0,19,0,-1,0.431,0.7411,1.4922,1,1,0,0,0,1.7,0,4.6444,7.9983,1.339,1.9,1,1,0,0,0,0
0,mass_move,1,49,46,0.625,0.9931,0.9998,0.1836,1,1,0,0,0,4.6,0,4.5541,7.9982,1.6689,4.9,1,1,0,0,0,0
0,backup_snapshot,0,41,0,-1,0.9372,0.9998,0.1973,1,1,0,0,0,2.8,0,4.7066,7.9982,1.6283,4.1,1,1,0,0,0,0
0,temp_churn,0,53,0,-1,0.8934,0.6152,1.6128,1,0,0,0,0,4.8,0,4.7705,4.9292,1.7512,4.8,1,0,0,0,0,0
0,mass_zip,0,5,0,-1,0.0747,0.9938,0.2085,0,0,0,0,0,0.4,0,6.6533,7.9984,0.5453,0.5,0,0,0,0,0,0
0,mass_rename,0,57,0,-1,0.484,0.742,1.4544,1,0,0,0,0,2.8,0,4.7181,5.9377,1.6629,2.9,1,0,0,0,0,0
0,mass_delete,0,31,0,-1,0.4988,0.6198,1.6235,1,0,0,0,0,3.1,0,4.539,6.0386,1.6789,3.1,1,0,0,0,0,0
0,mass_copy,0,26,0,-1,0.6421,0.6251,1.6157,1,1,0,0,0,2.6,0,4.8972,7.9984,1.6174,2.6,1,1,0,0,0,0
0,mass_rename,1,57,27,0.446,0.971,0.9998,0.1875,1,0,0,0,1,2.8,0,4.5568,7.9984,1.6281,2.9,1,0,0,0,0,6
0,mass_delete,0,31,0,-1,0.8142,0.9998,0.2222,1,0,0,0,1,1.2,0,5.0715,7.9986,1.565,3.1,1,0,0,0,0,3
0,backup_snapshot,0,41,0,-1,0.921,0.6259,1.6201,1,1,0,0,0,4.1,0,4.496,6.0454,1.7212,4.1,1,1,0,0,0,0
0,temp_churn,0,50,0,-1,0.8812,0.6141,1.6079,1,0,0,0,0,4.7,0,4.7806,4.9296,1.7487,4.7,1,0,0,0,0,0
0,bulk_append,0,23,0,-1,0.3105,0.7452,1.4419,1,0,0,0,0,2.2,0,5.1652,5.9716,1.6062,2.3,1,0,0,0,0,0
0,mass_zip,0,5,0,-1,0.0649,0.9924,0.2334,0,0,0,0,0,0.3,0,5.1802,7.9773,0.7241,0.5,0,0,0,0,0,0
0,mass_move,1,46,30,0.583,0.9974,0.9998,0.1841,1,1,0,0,1,3.8,0,4.926,7.9982,1.5163,4.9,1,1,0,0,0,6
0,mass_extract,1,19,17,0.629,0.9649,0.9998,0.21,1,1,0,0,1,1.7,0,5.056,7.9984,1.3915,1.9,1,1,0,0,0,2
0,temp_churn,0,53,0,-1,0.8935,0.6154,1.6113,1,0,0,0,0,4.8,0,4.7385,4.923,1.7533,4.8,1,0,0,0,0,0
0,mass_extract,0,19,0,-1,0.7908,0.9998,0.1948,1,1,0,0,0,1.7,0,5.1045,7.9981,1.3178,1.9,1,1,0,0,0,0
0,mass_copy,0,26,0,-1,0.816,0.9998,0.21,1,0,0,0,1,1.2,0,5.0148,7.9981,1.5624,2.6,1,1,0,0,0,3
0,mass_delete,0,31,0,-1,0.9254,0.9998,0.1821,1,0,0,0,1,2,0,4.8162,7.9981,1.5955,3.1,1,0,0,0,0,5
0,mass_move,1,49,44,0.593,0.9733,0.7417,1.4922,1,1,0,0,0,4.8,0,4.8025,6.0463,1.6735,4.9,1,1,0,0,0,0
0,backup_snapshot,1,41,40,0.592,0.998,0.9998,0.2031,1,1,0,0,1,4,0,5.0368,7.9982,1.583,4.1,1,1,0,0,0,4
0,mass_zip,0,5,0,-1,0.0737,0.9949,0.2246,0,0,0,0,0,0.4,0,6.249,7.9981,0.5552,0.5,0,0,0,0,0,0
0,mass_rename,1,57,46,0.6,0.9707,0.9998,0.2007,1,0,0,0,1,2.8,0,5.0369,7.998,1.5515,2.9,1,0,0,0,0,3
0,bulk_append,0,23,0,-1,0.3107,0.7458,1.442,1,0,0,0,0,2.2,0,5.1524,5.9666,1.6311,2.3,1,0,0,0,0,0
0,mass_move,1,49,36,0.503,0.9757,0.9998,0.2065,1,1,0,0,0,3.6,0,4.8911,7.9981,1.5737,4.9,1,1,0,0,0,0
0,temp_churn,0,53,0,-1,0.8937,0.6161,1.6104,1,0,0,0,0,4.8,0,4.7759,4.9287,1.7505,4.8,1,0,0,0,0,0
0,bulk_append,0,23,0,-1,0.3104,0.745,1.442,1,0,0,0,0,2.2,0,5.075,5.9597,1.6358,2.3,1,0,0,0,0,0
0,mass_copy,0,26,0,-1,0.6419,0.6252,1.6167,1,1,0,0,0,2.6,0,5.0457,7.9984,1.5491,2.6,1,1,0,0,0,4
0,mass_delete,0,28,0,-1,0.8924,0.9998,0.2095,1,0,0,0,1,1.7,0,5.3418,7.9985,1.4435,3.1,1,0,0,0,0,10
0,backup_snapshot,1,41,26,0.562,0.9884,0.9998,0.2065,1,1,0,0,1,2.6,0,4.8345,7.9984,1.6317,4.1,1,1,0,0,0,2
0,mass_rename,1,57,45,0.885,0.9707,0.9998,0.1978,1,0,0,0,1,2.8,0,5.0934,7.9983,1.4966,2.9,1,0,0,0,0,4
0,mass_extract,0,19,0,-1,0.7752,0.9998,0.2119,1,0,0,0,1,1,0,5.0587,7.9986,1.3975,1.9,1,1,0,0,0,2
0,mass_zip,0,5,0,-1,0.0742,0.9969,0.2202,0,0,0,0,0,0.4,0,5.786,7.9748,0.5462,0.5,0,0,0,0,0,0
0,bulk_append,0,23,0,-1,0.3091,0.7398,1.442,1,0,0,0,0,2.2,0,5.2851,5.9439,1.5901,2.3,1,0,0,0,0,0
0,mass_zip,0,5,0,-1,0.0743,0.9945,0.2158,0,0,0,0,0,0.4,0,4.1393,7.9985,0.8158,0.5,0,0,0,0,0,0
0,mass_delete,1,31,25,0.48,0.957,0.9998,0.2227,1,0,0,0,1,2.5,0,4.6394,7.998,1.6494,3.1,1,0,0,0,0,2
0,mass_extract,0,19,0,-1,0.776,0.9997,0.207,1,0,0,0,1,1,0,5.1199,7.9979,1.3463,1.9,1,1,0,0,0,2
0,mass_rename,1,57,26,0.628,0.971,0.9998,0.1895,1,0,0,0,1,2.8,0,5.2314,7.9984,1.3772,2.9,1,0,0,0,0,6
0,mass_copy,0,26,0,-1,0.6415,0.6245,1.6177,1,1,0,0,0,2.6,0,4.9057,7.9983,1.5757,2.6,1,1,0,0,0,0
0,backup_snapshot,1,41,21,0.462,0.9957,0.9998,0.2139,1,1,0,0,1,3.4,0,4.8258,7.9984,1.5965,4.1,1,1,0,0,0,4
0,mass_move,1,49,44,0.555,0.9734,0.7425,1.4922,1,1,0,0,0,4.8,0,4.6429,5.9528,1.6935,4.9,1,1,0,0,0,0
0,temp_churn,0,52,0,-1,0.8518,0.615,1.6143,1,0,0,0,0,4.5,0,4.7796,4.9197,1.7498,4.5,1,0,0,0,0,0
0,temp_churn,0,53,0,-1,0.8671,0.6139,1.6108,1,0,0,0,0,4.6,0,4.7625,4.9605,1.7504,4.6,1,0,0,0,0,0
0,mass_rename,1,57,35,0.602,0.9709,0.9998,0.1938,1,0,0,0,1,2.8,0,5.0176,7.9983,1.5873,2.9,1,0,0,0,0,3
0,mass_extract,0,19,0,-1,0.4312,0.7419,1.4922,1,1,0,0,0,1.7,0,4.6618,7.9474,1.536,1.9,1,1,0,0,0,0
0,mass_copy,0,26,0,-1,0.9036,0.9998,0.2114,1,0,0,0,1,1.8,0,4.7405,7.9984,1.6703,2.6,1,1,0,0,0,2
0,bulk_append,0,23,0,-1,0.3114,0.7486,1.4419,1,0,0,0,0,2.2,0,5.0239,5.9891,1.642,2.3,1,0,0,0,0,0
0,backup_snapshot,1,41,24,0.363,0.9977,0.9998,0.2114,1,1,0,0,1,3.9,0,4.9665,7.9984,1.5238,4.1,1,1,0,0,0,6
0,mass_delete,1,31,30,0.443,0.977,0.9998,0.2026,1,0,0,0,1,3,0,5.0217,7.9982,1.5791,3.1,1,0,0,0,0,2
0,mass_move,1,49,33,0.456,0.9951,0.9998,0.2207,1,1,0,0,1,3.3,0,4.8885,7.9984,1.5723,4.9,1,1,0,0,0,3
0,mass_zip,0,5,0,-1,0.0741,0.9979,0.2231,0,0,0,0,0,0.4,0,6.8875,7.9978,0.5,0.5,0,0,0,0,0,0
0,bulk_append,0,23,0,-1,0.3001,0.7409,1.4859,1,0,0,0,0,2.2,0,4.7345,5.9502,1.698,2.3,1,0,0,0,0,0
0,mass_delete,0,29,0,-1,0.8801,0.9998,0.2065,1,0,0,0,1,1.6,0,4.9849,7.9984,1.5079,3.1,1,0,0,0,0,5
0,mass_rename,1,57,24,0.482,0.9707,0.9997,0.2002,1,0,0,0,1,2.8,0,4.8214,7.9979,1.5982,2.9,1,0,0,0,0,3
0,mass_zip,0,5,0,-1,0.0747,0.9932,0.208,0,0,0,0,0,0.4,0,7.2629,7.998,0.4261,0.5,0,0,0,0,0,0
0,temp_churn,0,53,0,-1,0.9147,0.6141,1.6147,1,0,0,0,0,5,0,4.8004,4.9174,1.7469,5,1,0,0,0,0,0
0,mass_copy,0,26,0,-1,0.6446,0.6271,1.6069,1,1,0,0,0,2.6,0,5.0842,7.9981,1.5165,2.6,1,1,0,0,0,2
